,Pathway_1,Pathway_2,Pathway_3,Pathway_4,Pathway_5,Pathway_6,Pathway_7,Pathway_8,Pathway_9,Pathway_10,Pathway_11,Pathway_12,Pathway_13,Pathway_14,Pathway_15,Pathway_16,Pathway_17,Pathway_18,Pathway_19,Pathway_20,Pathway_21,Pathway_22,Pathway_23,Pathway_24,Pathway_25,Pathway_26,Pathway_27,Pathway_28,Pathway_29,Pathway_30,Pathway_31,Pathway_32,Pathway_33,Pathway_34,Pathway_35,Pathway_36,Pathway_37,Pathway_38,Pathway_39,Pathway_40,Pathway_41,Pathway_42,Pathway_43,Pathway_44,Pathway_45,Pathway_46,Pathway_47,Pathway_48,Pathway_49,Pathway_50,Pathway_51,Pathway_52,Pathway_53,Pathway_54,Pathway_55,Pathway_56,Pathway_57,Pathway_58,Pathway_59,Pathway_60,Pathway_61,Pathway_62,Pathway_63,Pathway_64,Pathway_65,Pathway_66,Pathway_67,Pathway_68,Pathway_69,Pathway_70,Pathway_71,Pathway_72,Pathway_73,Pathway_74,Pathway_75,Pathway_76,Pathway_77,Pathway_78,Pathway_79,Pathway_80,Pathway_81,Pathway_82,Pathway_83,Pathway_84,Pathway_85,Pathway_86,Pathway_87,Pathway_88,Pathway_89,Pathway_90,Pathway_91,Pathway_92,Pathway_93,Pathway_94,Pathway_95,Pathway_96,Pathway_97,Pathway_98,Pathway_99,Pathway_100,Pathway_101,Pathway_102,Pathway_103,Pathway_104,Pathway_105,Pathway_106,Pathway_107,Pathway_108,Pathway_109,Pathway_110,Pathway_111,Pathway_112,Pathway_113
ENSG00000111276,AGE-RAGE signaling pathway in diabetic complications,Cell cycle,Chronic myeloid leukemia,Cushing syndrome,Epstein-Barr virus infection,ErbB signaling pathway,FoxO signaling pathway,Gastric cancer,HIF-1 signaling pathway,Human papillomavirus infection,Measles,MicroRNAs in cancer,PI3K-Akt signaling pathway,Pathways in cancer,Prostate cancer,Small cell lung cancer,Transcriptional misregulation in cancer,Viral carcinogenesis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000133703,AGE-RAGE signaling pathway in diabetic complications,Acute myeloid leukemia,Alcoholism,Aldosterone-regulated sodium reabsorption,Alzheimer disease,Apelin signaling pathway,Apoptosis,Autophagy,Axon guidance,B cell receptor signaling pathway,Bladder cancer,Breast cancer,C-type lectin receptor signaling pathway,Cellular senescence,Central carbon metabolism in cancer,Chemical carcinogenesis,Chemokine signaling pathway,Choline metabolism in cancer,Cholinergic synapse,Chronic myeloid leukemia,Colorectal cancer,Endometrial cancer,ErbB signaling pathway,Estrogen signaling pathway,Fc epsilon RI signaling pathway,FoxO signaling pathway,Gap junction,Gastric cancer,Glioma,GnRH secretion,GnRH signaling pathway,"Growth hormone synthesis, secretion and action",Hepatitis B,Hepatitis C,Hepatocellular carcinoma,Human T-cell leukemia virus 1 infection,Human cytomegalovirus infection,Human immunodeficiency virus 1 infection,Human papillomavirus infection,Insulin signaling pathway,Kaposi sarcoma-associated herpesvirus infection,Lipid and atherosclerosis,Long-term depression,Long-term potentiation,Longevity regulating pathway,MAPK signaling pathway,Melanogenesis,Melanoma,MicroRNAs in cancer,Mitophagy,Natural killer cell mediated cytotoxicity,Neurotrophin signaling pathway,Non-small cell lung cancer,Oxytocin signaling pathway,PD-L1 expression and PD-1 checkpoint pathway in cancer,PI3K-Akt signaling pathway,Pancreatic cancer,Pathways in cancer,Pathways of neurodegeneration,Phospholipase D signaling pathway,Progesterone-mediated oocyte maturation,Prolactin signaling pathway,Prostate cancer,Proteoglycans in cancer,Rap1 signaling pathway,Ras signaling pathway,Regulation of actin cytoskeleton,Relaxin signaling pathway,Renal cell carcinoma,Serotonergic synapse,Signaling pathways regulating pluripotency of stem cells,Sphingolipid signaling pathway,T cell receptor signaling pathway,Thermogenesis,Thyroid cancer,Thyroid hormone signaling pathway,VEGF signaling pathway,Viral carcinogenesis,mTOR signaling pathway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000168610,AGE-RAGE signaling pathway in diabetic complications,Acute myeloid leukemia,Adipocytokine signaling pathway,Chemical carcinogenesis,Chemokine signaling pathway,Coronavirus disease,Epstein-Barr virus infection,FoxO signaling pathway,"Growth hormone synthesis, secretion and action",HIF-1 signaling pathway,Hepatitis B,Hepatitis C,Human cytomegalovirus infection,Inflammatory bowel disease,Insulin resistance,JAK-STAT signaling pathway,Kaposi sarcoma-associated herpesvirus infection,Lipid and atherosclerosis,Measles,MicroRNAs in cancer,Necroptosis,Non-small cell lung cancer,PD-L1 expression and PD-1 checkpoint pathway in cancer,Pancreatic cancer,Pathways in cancer,Prolactin signaling pathway,Proteoglycans in cancer,Signaling pathways regulating pluripotency of stem cells,Th17 cell differentiation,Toxoplasmosis,Viral carcinogenesis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000096968,AGE-RAGE signaling pathway in diabetic complications,Adipocytokine signaling pathway,Chemical carcinogenesis,Chemokine signaling pathway,Cholinergic synapse,"Growth hormone synthesis, secretion and action",Hepatitis B,Herpes simplex virus 1 infection,Influenza A,JAK-STAT signaling pathway,Kaposi sarcoma-associated herpesvirus infection,Leishmaniasis,Lipid and atherosclerosis,Necroptosis,PD-L1 expression and PD-1 checkpoint pathway in cancer,PI3K-Akt signaling pathway,Pathways in cancer,Prolactin signaling pathway,Signaling pathways regulating pluripotency of stem cells,Th1 and Th2 cell differentiation,Th17 cell differentiation,Toxoplasmosis,Tuberculosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000124181,AGE-RAGE signaling pathway in diabetic complications,Axon guidance,Calcium signaling pathway,Chemokine signaling pathway,Choline metabolism in cancer,Coronavirus disease,Epithelial cell signaling in Helicobacter pylori infection,ErbB signaling pathway,Fc epsilon RI signaling pathway,Fc gamma R-mediated phagocytosis,Glioma,"Growth hormone synthesis, secretion and action",HIF-1 signaling pathway,Hepatocellular carcinoma,Human immunodeficiency virus 1 infection,Inflammatory mediator regulation of TRP channels,Inositol phosphate metabolism,Kaposi sarcoma-associated herpesvirus infection,Leukocyte transendothelial migration,Lipid and atherosclerosis,MicroRNAs in cancer,NF-kappa B signaling pathway,Natural killer cell mediated cytotoxicity,Neurotrophin signaling pathway,Neutrophil extracellular trap formation,Non-small cell lung cancer,PD-L1 expression and PD-1 checkpoint pathway in cancer,Parkinson disease,Pathways in cancer,Pathways of neurodegeneration,Phosphatidylinositol signaling system,Phospholipase D signaling pathway,Proteoglycans in cancer,Rap1 signaling pathway,Ras signaling pathway,Shigellosis,T cell receptor signaling pathway,Th1 and Th2 cell differentiation,Th17 cell differentiation,Thyroid hormone signaling pathway,VEGF signaling pathway,Vibrio cholerae infection,Yersinia infection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000182621,AGE-RAGE signaling pathway in diabetic complications,Adrenergic signaling in cardiomyocytes,African trypanosomiasis,Aldosterone synthesis and secretion,Alzheimer disease,Amoebiasis,Apelin signaling pathway,Calcium signaling pathway,Carbohydrate digestion and absorption,Chagas disease,Chemokine signaling pathway,Cholinergic synapse,Circadian entrainment,Cortisol synthesis and secretion,Cushing syndrome,Diabetic cardiomyopathy,Dopaminergic synapse,Endocrine and other factor-regulated calcium reabsorption,Estrogen signaling pathway,Gap junction,Gastric acid secretion,Glucagon signaling pathway,Glutamatergic synapse,GnRH secretion,GnRH signaling pathway,"Growth hormone synthesis, secretion and action",Human cytomegalovirus infection,Huntington disease,Inflammatory mediator regulation of TRP channels,Inositol phosphate metabolism,Insulin secretion,Lipid and atherosclerosis,Long-term depression,Long-term potentiation,Melanogenesis,NOD-like receptor signaling pathway,Neutrophil extracellular trap formation,Oxytocin signaling pathway,Pancreatic secretion,"Parathyroid hormone synthesis, secretion and action",Pathways in cancer,Pathways of neurodegeneration,Phosphatidylinositol signaling system,Phospholipase D signaling pathway,Platelet activation,Rap1 signaling pathway,Relaxin signaling pathway,Renin secretion,Retrograde endocannabinoid signaling,Salivary secretion,Serotonergic synapse,Shigellosis,Sphingolipid signaling pathway,Spinocerebellar ataxia,Taste transduction,Thyroid hormone signaling pathway,Thyroid hormone synthesis,Vascular smooth muscle contraction,Wnt signaling pathway,cGMP-PKG signaling pathway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000142208,AGE-RAGE signaling pathway in diabetic complications,AMPK signaling pathway,Acute myeloid leukemia,Adipocytokine signaling pathway,Adrenergic signaling in cardiomyocytes,Alzheimer disease,Apelin signaling pathway,Apoptosis,Autophagy,B cell receptor signaling pathway,Breast cancer,C-type lectin receptor signaling pathway,Carbohydrate digestion and absorption,Cellular senescence,Central carbon metabolism in cancer,Chagas disease,Chemical carcinogenesis,Chemokine signaling pathway,Choline metabolism in cancer,Cholinergic synapse,Chronic myeloid leukemia,Colorectal cancer,Diabetic cardiomyopathy,Dopaminergic synapse,Endometrial cancer,Epstein-Barr virus infection,ErbB signaling pathway,Estrogen signaling pathway,Fc epsilon RI signaling pathway,Fc gamma R-mediated phagocytosis,Fluid shear stress and atherosclerosis,Focal adhesion,FoxO signaling pathway,Gastric cancer,Glioma,Glucagon signaling pathway,GnRH secretion,"Growth hormone synthesis, secretion and action",HIF-1 signaling pathway,Hepatitis B,Hepatitis C,Hepatocellular carcinoma,Herpes simplex virus 1 infection,Human T-cell leukemia virus 1 infection,Human cytomegalovirus infection,Human immunodeficiency virus 1 infection,Human papillomavirus infection,Influenza A,Insulin resistance,Insulin signaling pathway,JAK-STAT signaling pathway,Kaposi sarcoma-associated herpesvirus infection,Lipid and atherosclerosis,Longevity regulating pathway,MAPK signaling pathway,Measles,Melanoma,Neurotrophin signaling pathway,Neutrophil extracellular trap formation,Non-alcoholic fatty liver disease,Non-small cell lung cancer,Osteoclast differentiation,PD-L1 expression and PD-1 checkpoint pathway in cancer,PI3K-Akt signaling pathway,Pancreatic cancer,Pathways in cancer,Phospholipase D signaling pathway,Platelet activation,Progesterone-mediated oocyte maturation,Prolactin signaling pathway,Prostate cancer,Proteoglycans in cancer,Rap1 signaling pathway,Ras signaling pathway,Regulation of lipolysis in adipocytes,Relaxin signaling pathway,Renal cell carcinoma,Salmonella infection,Shigellosis,Signaling pathways regulating pluripotency of stem cells,Small cell lung cancer,Sphingolipid signaling pathway,Spinocerebellar ataxia,T cell receptor signaling pathway,TNF signaling pathway,Thyroid hormone signaling pathway,Toll-like receptor signaling pathway,Toxoplasmosis,Tuberculosis,VEGF signaling pathway,Yersinia infection,cAMP signaling pathway,cGMP-PKG signaling pathway,mTOR signaling pathway,,,,,,,,,,,,,,,,,,,
ENSG00000136244,AGE-RAGE signaling pathway in diabetic complications,African trypanosomiasis,Alzheimer disease,Amoebiasis,C-type lectin receptor signaling pathway,Cellular senescence,Chagas disease,Coronavirus disease,Cytokine-cytokine receptor interaction,Cytosolic DNA-sensing pathway,Epstein-Barr virus infection,FoxO signaling pathway,Graft-versus-host disease,HIF-1 signaling pathway,Hematopoietic cell lineage,Hepatitis B,Herpes simplex virus 1 infection,Human T-cell leukemia virus 1 infection,Human cytomegalovirus infection,Hypertrophic cardiomyopathy,IL-17 signaling pathway,Inflammatory bowel disease,Influenza A,Insulin resistance,Intestinal immune network for IgA production,JAK-STAT signaling pathway,Kaposi sarcoma-associated herpesvirus infection,Legionellosis,Lipid and atherosclerosis,Malaria,Measles,NOD-like receptor signaling pathway,Non-alcoholic fatty liver disease,PI3K-Akt signaling pathway,Pathogenic Escherichia coli infection,Pathways in cancer,Pathways of neurodegeneration,Pertussis,Prion disease,Rheumatoid arthritis,Salmonella infection,TNF signaling pathway,Th17 cell differentiation,Toll-like receptor signaling pathway,Transcriptional misregulation in cancer,Tuberculosis,Viral protein interaction with cytokine and cytokine receptor,Yersinia infection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000117461,AGE-RAGE signaling pathway in diabetic complications,AMPK signaling pathway,Acute myeloid leukemia,Aldosterone-regulated sodium reabsorption,Alzheimer disease,Amoebiasis,Apoptosis,Autophagy,Axon guidance,B cell receptor signaling pathway,Bacterial invasion of epithelial cells,Breast cancer,C-type lectin receptor signaling pathway,Carbohydrate digestion and absorption,Cellular senescence,Central carbon metabolism in cancer,Chagas disease,Chemical carcinogenesis,Chemokine signaling pathway,Choline metabolism in cancer,Cholinergic synapse,Chronic myeloid leukemia,Colorectal cancer,Coronavirus disease,Diabetic cardiomyopathy,Endometrial cancer,Epstein-Barr virus infection,ErbB signaling pathway,Estrogen signaling pathway,Fc epsilon RI signaling pathway,Fc gamma R-mediated phagocytosis,Fluid shear stress and atherosclerosis,Focal adhesion,FoxO signaling pathway,Gastric cancer,Glioma,GnRH secretion,"Growth hormone synthesis, secretion and action",HIF-1 signaling pathway,Hepatitis B,Hepatitis C,Hepatocellular carcinoma,Herpes simplex virus 1 infection,Human T-cell leukemia virus 1 infection,Human cytomegalovirus infection,Human immunodeficiency virus 1 infection,Human papillomavirus infection,Inflammatory mediator regulation of TRP channels,Influenza A,Insulin resistance,Insulin signaling pathway,JAK-STAT signaling pathway,Kaposi sarcoma-associated herpesvirus infection,Leukocyte transendothelial migration,Lipid and atherosclerosis,Longevity regulating pathway,Measles,Melanoma,MicroRNAs in cancer,Natural killer cell mediated cytotoxicity,Neurotrophin signaling pathway,Neutrophil extracellular trap formation,Non-alcoholic fatty liver disease,Non-small cell lung cancer,Osteoclast differentiation,PD-L1 expression and PD-1 checkpoint pathway in cancer,PI3K-Akt signaling pathway,Pancreatic cancer,Pathways in cancer,Phosphatidylinositol signaling system,Phospholipase D signaling pathway,Platelet activation,Prion disease,Progesterone-mediated oocyte maturation,Prolactin signaling pathway,Prostate cancer,Proteoglycans in cancer,Rap1 signaling pathway,Ras signaling pathway,Regulation of actin cytoskeleton,Regulation of lipolysis in adipocytes,Relaxin signaling pathway,Renal cell carcinoma,Shigellosis,Signaling pathways regulating pluripotency of stem cells,Small cell lung cancer,Sphingolipid signaling pathway,Spinocerebellar ataxia,T cell receptor signaling pathway,TNF signaling pathway,Thyroid hormone signaling pathway,Toll-like receptor signaling pathway,Type II diabetes mellitus,VEGF signaling pathway,Viral carcinogenesis,Yersinia infection,cAMP signaling pathway,mTOR signaling pathway,,,,,,,,,,,,,,,
ENSG00000174775,AGE-RAGE signaling pathway in diabetic complications,Acute myeloid leukemia,Alcoholism,Alzheimer disease,Apelin signaling pathway,Apoptosis,Autophagy,Axon guidance,B cell receptor signaling pathway,Bladder cancer,Breast cancer,C-type lectin receptor signaling pathway,Cellular senescence,Central carbon metabolism in cancer,Chemical carcinogenesis,Chemokine signaling pathway,Choline metabolism in cancer,Cholinergic synapse,Chronic myeloid leukemia,Colorectal cancer,Endocytosis,Endometrial cancer,ErbB signaling pathway,Estrogen signaling pathway,Fc epsilon RI signaling pathway,Focal adhesion,FoxO signaling pathway,Gap junction,Gastric cancer,Glioma,GnRH secretion,GnRH signaling pathway,"Growth hormone synthesis, secretion and action",Hepatitis B,Hepatitis C,Hepatocellular carcinoma,Human T-cell leukemia virus 1 infection,Human cytomegalovirus infection,Human immunodeficiency virus 1 infection,Human papillomavirus infection,Insulin signaling pathway,JAK-STAT signaling pathway,Kaposi sarcoma-associated herpesvirus infection,Lipid and atherosclerosis,Long-term depression,Long-term potentiation,Longevity regulating pathway,MAPK signaling pathway,Melanogenesis,Melanoma,MicroRNAs in cancer,Mitophagy,Natural killer cell mediated cytotoxicity,Neurotrophin signaling pathway,Non-small cell lung cancer,Oxytocin signaling pathway,PD-L1 expression and PD-1 checkpoint pathway in cancer,PI3K-Akt signaling pathway,Pathways in cancer,Pathways of neurodegeneration,Phospholipase D signaling pathway,Prolactin signaling pathway,Prostate cancer,Proteoglycans in cancer,Rap1 signaling pathway,Ras signaling pathway,Regulation of actin cytoskeleton,Relaxin signaling pathway,Renal cell carcinoma,Salmonella infection,Serotonergic synapse,Signaling pathways regulating pluripotency of stem cells,Sphingolipid signaling pathway,T cell receptor signaling pathway,Thermogenesis,Thyroid cancer,Thyroid hormone signaling pathway,VEGF signaling pathway,Viral carcinogenesis,mTOR signaling pathway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000109339,AGE-RAGE signaling pathway in diabetic complications,Adipocytokine signaling pathway,Alzheimer disease,Apoptosis,Autophagy,C-type lectin receptor signaling pathway,Chagas disease,Choline metabolism in cancer,Colorectal cancer,Coronavirus disease,Diabetic cardiomyopathy,Dopaminergic synapse,Epithelial cell signaling in Helicobacter pylori infection,Epstein-Barr virus infection,ErbB signaling pathway,Fc epsilon RI signaling pathway,Fluid shear stress and atherosclerosis,Focal adhesion,FoxO signaling pathway,GnRH signaling pathway,"Growth hormone synthesis, secretion and action",Hepatitis B,Human T-cell leukemia virus 1 infection,Human immunodeficiency virus 1 infection,Huntington disease,IL-17 signaling pathway,Inflammatory mediator regulation of TRP channels,Insulin resistance,Insulin signaling pathway,Kaposi sarcoma-associated herpesvirus infection,Lipid and atherosclerosis,MAPK signaling pathway,Measles,Mitophagy,NOD-like receptor signaling pathway,Necroptosis,Neurotrophin signaling pathway,Non-alcoholic fatty liver disease,Osteoclast differentiation,Pancreatic cancer,Parkinson disease,Pathogenic Escherichia coli infection,Pathways in cancer,Pathways of neurodegeneration,Pertussis,Prion disease,Progesterone-mediated oocyte maturation,Prolactin signaling pathway,Protein processing in endoplasmic reticulum,RIG-I-like receptor signaling pathway,Ras signaling pathway,Relaxin signaling pathway,Retrograde endocannabinoid signaling,Salmonella infection,Shigellosis,Sphingolipid signaling pathway,Spinocerebellar ataxia,T cell receptor signaling pathway,TNF signaling pathway,Th1 and Th2 cell differentiation,Th17 cell differentiation,Tight junction,Toll-like receptor signaling pathway,Toxoplasmosis,Tuberculosis,Type II diabetes mellitus,Wnt signaling pathway,Yersinia infection,cAMP signaling pathway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000171132,AGE-RAGE signaling pathway in diabetic complications,Aldosterone synthesis and secretion,Apelin signaling pathway,Fc gamma R-mediated phagocytosis,Inflammatory mediator regulation of TRP channels,Insulin resistance,MicroRNAs in cancer,Shigellosis,Sphingolipid signaling pathway,Tight junction,Type II diabetes mellitus,Vascular smooth muscle contraction,cGMP-PKG signaling pathway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000178726,AGE-RAGE signaling pathway in diabetic complications,Complement and coagulation cascades,Fluid shear stress and atherosclerosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000087088,AGE-RAGE signaling pathway in diabetic complications,Amyotrophic lateral sclerosis,Apoptosis,Basal cell carcinoma,Breast cancer,Chronic myeloid leukemia,Colorectal cancer,Endometrial cancer,Epstein-Barr virus infection,Gastric cancer,Glioma,Hepatitis B,Hepatitis C,Hepatocellular carcinoma,Herpes simplex virus 1 infection,Human T-cell leukemia virus 1 infection,Human cytomegalovirus infection,Human immunodeficiency virus 1 infection,Human papillomavirus infection,Huntington disease,Influenza A,Kaposi sarcoma-associated herpesvirus infection,Lipid and atherosclerosis,Longevity regulating pathway,Measles,Melanoma,Necroptosis,Neurotrophin signaling pathway,Non-alcoholic fatty liver disease,Non-small cell lung cancer,Pancreatic cancer,Parkinson disease,Pathogenic Escherichia coli infection,Pathways in cancer,Pathways of neurodegeneration,Prion disease,Protein processing in endoplasmic reticulum,Salmonella infection,Shigellosis,Small cell lung cancer,Sphingolipid signaling pathway,Thyroid cancer,Transcriptional misregulation in cancer,Tuberculosis,Viral carcinogenesis,p53 signaling pathway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000188153,AGE-RAGE signaling pathway in diabetic complications,Amoebiasis,ECM-receptor interaction,Focal adhesion,Human papillomavirus infection,PI3K-Akt signaling pathway,Pathways in cancer,Protein digestion and absorption,Relaxin signaling pathway,Small cell lung cancer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000171791,AGE-RAGE signaling pathway in diabetic complications,Adrenergic signaling in cardiomyocytes,Amyotrophic lateral sclerosis,Apoptosis,Autophagy,Chemical carcinogenesis,Cholinergic synapse,Colorectal cancer,Epstein-Barr virus infection,Estrogen signaling pathway,Fluid shear stress and atherosclerosis,Focal adhesion,Gastric cancer,HIF-1 signaling pathway,Hedgehog signaling pathway,Hepatitis B,Herpes simplex virus 1 infection,Human immunodeficiency virus 1 infection,JAK-STAT signaling pathway,Lipid and atherosclerosis,Measles,MicroRNAs in cancer,NF-kappa B signaling pathway,NOD-like receptor signaling pathway,Necroptosis,Neurotrophin signaling pathway,PI3K-Akt signaling pathway,"Parathyroid hormone synthesis, secretion and action",Pathways in cancer,Pathways of neurodegeneration,Prostate cancer,Protein processing in endoplasmic reticulum,Salmonella infection,Shigellosis,Small cell lung cancer,Sphingolipid signaling pathway,Toxoplasmosis,Tuberculosis,p53 signaling pathway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000137841,AGE-RAGE signaling pathway in diabetic complications,Adrenergic signaling in cardiomyocytes,African trypanosomiasis,Aldosterone synthesis and secretion,Alzheimer disease,Amoebiasis,Apelin signaling pathway,Calcium signaling pathway,Carbohydrate digestion and absorption,Chagas disease,Chemokine signaling pathway,Cholinergic synapse,Circadian entrainment,Cortisol synthesis and secretion,Cushing syndrome,Diabetic cardiomyopathy,Dopaminergic synapse,Endocrine and other factor-regulated calcium reabsorption,Estrogen signaling pathway,Gap junction,Gastric acid secretion,Glucagon signaling pathway,Glutamatergic synapse,GnRH secretion,GnRH signaling pathway,"Growth hormone synthesis, secretion and action",Human cytomegalovirus infection,Huntington disease,Inflammatory mediator regulation of TRP channels,Inositol phosphate metabolism,Insulin secretion,Lipid and atherosclerosis,Long-term depression,Long-term potentiation,Melanogenesis,NOD-like receptor signaling pathway,Neutrophil extracellular trap formation,Oxytocin signaling pathway,Pancreatic secretion,"Parathyroid hormone synthesis, secretion and action",Pathways in cancer,Pathways of neurodegeneration,Phosphatidylinositol signaling system,Phospholipase D signaling pathway,Platelet activation,Rap1 signaling pathway,Relaxin signaling pathway,Renin secretion,Retrograde endocannabinoid signaling,Salivary secretion,Serotonergic synapse,Shigellosis,Sphingolipid signaling pathway,Spinocerebellar ataxia,Taste transduction,Thyroid hormone signaling pathway,Thyroid hormone synthesis,Vascular smooth muscle contraction,Wnt signaling pathway,cGMP-PKG signaling pathway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000150907,AGE-RAGE signaling pathway in diabetic complications,AMPK signaling pathway,Cellular senescence,FoxO signaling pathway,Glucagon signaling pathway,Human papillomavirus infection,Insulin resistance,Insulin signaling pathway,Longevity regulating pathway,Pathways in cancer,Prostate cancer,Shigellosis,Thyroid hormone signaling pathway,Transcriptional misregulation in cancer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000138193,AGE-RAGE signaling pathway in diabetic complications,Calcium signaling pathway,Inositol phosphate metabolism,Phosphatidylinositol signaling system,Proteoglycans in cancer,Rap1 signaling pathway,Ras signaling pathway,Shigellosis,Thyroid hormone signaling pathway,cAMP signaling pathway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000188130,AGE-RAGE signaling pathway in diabetic complications,Adrenergic signaling in cardiomyocytes,Amyotrophic lateral sclerosis,C-type lectin receptor signaling pathway,Cellular senescence,Chagas disease,Coronavirus disease,Diabetic cardiomyopathy,Dopaminergic synapse,Epithelial cell signaling in Helicobacter pylori infection,Epstein-Barr virus infection,Fc epsilon RI signaling pathway,Fluid shear stress and atherosclerosis,FoxO signaling pathway,GnRH signaling pathway,"Growth hormone synthesis, secretion and action",Hepatitis B,Human cytomegalovirus infection,Human immunodeficiency virus 1 infection,IL-17 signaling pathway,Inflammatory mediator regulation of TRP channels,Kaposi sarcoma-associated herpesvirus infection,Leishmaniasis,Leukocyte transendothelial migration,Lipid and atherosclerosis,MAPK signaling pathway,NOD-like receptor signaling pathway,Neurotrophin signaling pathway,Neutrophil extracellular trap formation,Non-alcoholic fatty liver disease,Oocyte meiosis,Osteoclast differentiation,PD-L1 expression and PD-1 checkpoint pathway in cancer,Pathogenic Escherichia coli infection,Pathways of neurodegeneration,Pertussis,Platelet activation,Prion disease,Progesterone-mediated oocyte maturation,Prolactin signaling pathway,Proteoglycans in cancer,RIG-I-like receptor signaling pathway,Rap1 signaling pathway,Relaxin signaling pathway,Retrograde endocannabinoid signaling,Salmonella infection,Shigellosis,Signaling pathways regulating pluripotency of stem cells,Sphingolipid signaling pathway,T cell receptor signaling pathway,TNF signaling pathway,Th1 and Th2 cell differentiation,Th17 cell differentiation,Thermogenesis,Toll-like receptor signaling pathway,Toxoplasmosis,Tuberculosis,VEGF signaling pathway,Yersinia infection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
